seed,n_ref_mal,n_ref_safe,n_test_attack,n_test_safe,obfuscation,method,roc_auc,pr_auc,dataset,model,dim
4,200,200,184,4498,leetspeak,C1_logreg_raw,0.6745546329769753,0.06373472545520675,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,rot13,A1_naive_cosine_raw,0.8240836507046609,0.09770199822445537,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,rot13,A2_rsfi_svd_raw_k20,0.7232580422216637,0.06328575450350232,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,rot13,B1_discriminant_mean_raw,0.697218087265838,0.05853608525802108,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,rot13,B1b_SigmaT_wh,0.6407122972528853,0.05017472936709076,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,rot13,B1w_SigmaW_wh,0.6800582867747985,0.056389954326119276,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,rot13,C1_logreg_raw,0.7034950316082511,0.060225216179710446,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,zero_width,A1_naive_cosine_raw,0.921706748893228,0.5205860694852257,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,zero_width,A2_rsfi_svd_raw_k20,0.9456243837840974,0.6065571881899954,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,zero_width,B1_discriminant_mean_raw,0.9559296885572333,0.6457028507849555,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,zero_width,B1b_SigmaT_wh,0.9621051385156688,0.6876598064623219,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,zero_width,B1w_SigmaW_wh,0.9732791868849924,0.7276539884225042,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,zero_width,C1_logreg_raw,0.9776676107255399,0.7266112072753731,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,homoglyph,A1_naive_cosine_raw,0.8450796972567518,0.12487066956186373,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,homoglyph,A2_rsfi_svd_raw_k20,0.75178944265084,0.0703286661919495,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,homoglyph,B1_discriminant_mean_raw,0.8306227888723491,0.12754717419805306,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,homoglyph,B1b_SigmaT_wh,0.742535329711756,0.0835357601611224,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,homoglyph,B1w_SigmaW_wh,0.7924300897017031,0.10430423765974564,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,homoglyph,C1_logreg_raw,0.8315881937866104,0.13254563053084653,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,clean,A1_naive_cosine_raw,0.8681032149554393,0.3850820198150303,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,clean,A2_rsfi_svd_raw_k20,0.9000280317822413,0.48667335621738306,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,clean,B1_discriminant_mean_raw,0.9398355790979566,0.6175653275281962,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,clean,B1b_SigmaT_wh,0.9540194192588011,0.6607258151668562,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,clean,B1w_SigmaW_wh,0.9616169988593966,0.6933647168738394,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,clean,C1_logreg_raw,0.9624289539312157,0.6822974067543369,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,base64,A1_naive_cosine_raw,0.8369915614669322,0.11868643173446336,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,base64,A2_rsfi_svd_raw_k20,0.749459904885263,0.07334522155237982,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,base64,B1_discriminant_mean_raw,0.39440475960330196,0.033444265129757234,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,base64,B1b_SigmaT_wh,0.5861590658650221,0.04644648528212507,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,base64,B1w_SigmaW_wh,0.5516666827768864,0.04468543668997094,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,base64,C1_logreg_raw,0.4445369439557678,0.036460482829166536,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,leetspeak,A1_naive_cosine_raw,0.6488040578421328,0.05050068672832222,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,leetspeak,A2_rsfi_svd_raw_k20,0.706178591451273,0.060295724755006684,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,leetspeak,B1_discriminant_mean_raw,0.2031917567227947,0.02352303844837582,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,leetspeak,B1b_SigmaT_wh,0.45780854292729134,0.033284971420366675,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,leetspeak,B1w_SigmaW_wh,0.434230430916156,0.03175897925115627,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,leetspeak,C1_logreg_raw,0.29004799234442363,0.02575703196529155,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,rot13,A1_naive_cosine_raw,0.8448924159529839,0.11039729795335201,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,rot13,A2_rsfi_svd_raw_k20,0.8214363388559166,0.09876641800583753,ToxicChat,bge-base-en-v1.5,768
0,200,200,184,4498,rot13,B1_discriminant_mean_raw,0.39949881106578766,0.03013827496580753,ToxicChat,bge-base-en-v1.5,768
