train_ds,target_ds,embedder,seed,method,n_test,roc_auc,pr_auc,tpr_fpr1,tpr_fpr5
Wild,HarmBench,bge-base-en-v1.5,2,B1w_SigmaW,400,0.585925,0.565416186032431,0.0,0.06
Wild,HarmBench,bge-base-en-v1.5,2,DELONG_B1w_vs_A1,400,0.0154166165400337,,,
Wild,Wild,bge-base-en-v1.5,3,A1_raw,400,0.7466,0.7277734784639089,0.035,0.18
Wild,Wild,bge-base-en-v1.5,3,B1_raw,400,0.849625,0.8111436914560978,0.075,0.325
Wild,Wild,bge-base-en-v1.5,3,B1b_SigmaT,400,0.8425375,0.8154155872931589,0.115,0.435
Wild,Wild,bge-base-en-v1.5,3,B1w_SigmaW,400,0.8573375,0.8319894123025374,0.15,0.435
Wild,Wild,bge-base-en-v1.5,3,DELONG_B1w_vs_A1,400,3.935750279016048e-07,,,
Wild,ToxicChat,bge-base-en-v1.5,3,A1_raw,400,0.71635,0.7450261849491275,0.235,0.295
Wild,ToxicChat,bge-base-en-v1.5,3,B1_raw,400,0.6817499999999999,0.7228585777304546,0.155,0.265
Wild,ToxicChat,bge-base-en-v1.5,3,B1b_SigmaT,400,0.6434500000000001,0.6892072683982824,0.16,0.255
Wild,ToxicChat,bge-base-en-v1.5,3,B1w_SigmaW,400,0.6498999999999999,0.7001633107693054,0.2,0.255
Wild,ToxicChat,bge-base-en-v1.5,3,DELONG_B1w_vs_A1,400,0.0201284880647394,,,
Wild,XSTest,bge-base-en-v1.5,3,A1_raw,400,0.72505,0.6890345909843477,0.025,0.125
Wild,XSTest,bge-base-en-v1.5,3,B1_raw,400,0.509575,0.4810869264314666,0.0,0.0
Wild,XSTest,bge-base-en-v1.5,3,B1b_SigmaT,400,0.471775,0.4773675316213731,0.005,0.025
Wild,XSTest,bge-base-en-v1.5,3,B1w_SigmaW,400,0.4790999999999999,0.482671383836209,0.005,0.02
Wild,XSTest,bge-base-en-v1.5,3,DELONG_B1w_vs_A1,400,1.3806067400423672e-11,,,
Wild,AdvBench,bge-base-en-v1.5,3,A1_raw,400,0.7545,0.6574186639015615,0.0,0.055
Wild,AdvBench,bge-base-en-v1.5,3,B1_raw,400,0.80265,0.7643413298153414,0.01,0.3
Wild,AdvBench,bge-base-en-v1.5,3,B1b_SigmaT,400,0.61245,0.6291602180616427,0.04,0.185
Wild,AdvBench,bge-base-en-v1.5,3,B1w_SigmaW,400,0.6253,0.6396223501023264,0.115,0.19
Wild,AdvBench,bge-base-en-v1.5,3,DELONG_B1w_vs_A1,400,0.0010746582447545,,,
Wild,HarmBench,bge-base-en-v1.5,3,A1_raw,400,0.6965749999999999,0.6232212540077899,0.025,0.095
Wild,HarmBench,bge-base-en-v1.5,3,B1_raw,400,0.6968249999999999,0.6681510884978431,0.05,0.2
Wild,HarmBench,bge-base-en-v1.5,3,B1b_SigmaT,400,0.476325,0.5255094680849502,0.065,0.105
Wild,HarmBench,bge-base-en-v1.5,3,B1w_SigmaW,400,0.4836999999999999,0.528568377583261,0.035,0.11
Wild,HarmBench,bge-base-en-v1.5,3,DELONG_B1w_vs_A1,400,1.3519095265479566e-07,,,
Wild,Wild,bge-base-en-v1.5,4,A1_raw,400,0.8221999999999999,0.8231483375564016,0.15,0.35
Wild,Wild,bge-base-en-v1.5,4,B1_raw,400,0.902925,0.88420020315511,0.3,0.585
Wild,Wild,bge-base-en-v1.5,4,B1b_SigmaT,400,0.84535,0.8462105323293851,0.23,0.46
Wild,Wild,bge-base-en-v1.5,4,B1w_SigmaW,400,0.8730749999999999,0.8685342522611834,0.295,0.495
Wild,Wild,bge-base-en-v1.5,4,DELONG_B1w_vs_A1,400,0.0088708036752467,,,
Wild,ToxicChat,bge-base-en-v1.5,4,A1_raw,400,0.73685,0.7704596619562276,0.265,0.315
Wild,ToxicChat,bge-base-en-v1.5,4,B1_raw,400,0.753475,0.7671403276405164,0.175,0.3
Wild,ToxicChat,bge-base-en-v1.5,4,B1b_SigmaT,400,0.709725,0.7198330082416816,0.125,0.235
Wild,ToxicChat,bge-base-en-v1.5,4,B1w_SigmaW,400,0.75125,0.7584460051758172,0.145,0.285
Wild,ToxicChat,bge-base-en-v1.5,4,DELONG_B1w_vs_A1,400,0.6346755357331417,,,
Wild,XSTest,bge-base-en-v1.5,4,A1_raw,400,0.6959500000000001,0.6594758617321477,0.03,0.105
Wild,XSTest,bge-base-en-v1.5,4,B1_raw,400,0.4952,0.460928479321036,0.0,0.005
Wild,XSTest,bge-base-en-v1.5,4,B1b_SigmaT,400,0.577,0.5767703792201924,0.005,0.125
Wild,XSTest,bge-base-en-v1.5,4,B1w_SigmaW,400,0.5701750000000001,0.563505661974629,0.005,0.11
Wild,XSTest,bge-base-en-v1.5,4,DELONG_B1w_vs_A1,400,0.0004938528820945,,,
Wild,AdvBench,bge-base-en-v1.5,4,A1_raw,400,0.70355,0.6079186873173617,0.0,0.035
Wild,AdvBench,bge-base-en-v1.5,4,B1_raw,400,0.7074750000000001,0.6504430879404057,0.005,0.135
Wild,AdvBench,bge-base-en-v1.5,4,B1b_SigmaT,400,0.40365,0.4231780445972437,0.0,0.0
Wild,AdvBench,bge-base-en-v1.5,4,B1w_SigmaW,400,0.4286,0.4343538393670561,0.0,0.0
