dataset,model,dim,seed,method,roc_auc,pr_auc,n_test
Wild,all-mpnet-base-v2,768,1,B2_contrastive_svd_raw_k20,0.834025,0.8314129113487965,1600
Wild,all-mpnet-base-v2,768,1,B2b_contrastive_svd_whitened_k20,0.8270796875000002,0.8333506017531516,1600
Wild,all-mpnet-base-v2,768,1,C1_logreg_raw,0.8847476562500001,0.863604611886003,1600
Wild,all-mpnet-base-v2,768,1,C1b_logreg_whitened,0.8288101562499999,0.8310170502795469,1600
Wild,all-mpnet-base-v2,768,2,A1_naive_cosine_raw,0.7838515625,0.759558545809641,1600
Wild,all-mpnet-base-v2,768,2,A1b_cosine_whitened,0.8380703125000001,0.8250457930353736,1600
Wild,all-mpnet-base-v2,768,2,A2_rsfi_svd_raw_k20,0.7931281250000001,0.7809685614156909,1600
Wild,all-mpnet-base-v2,768,2,A3_rsfi_svd_whitened_k20,0.8230507812500001,0.8134061389961176,1600
Wild,all-mpnet-base-v2,768,2,B1_discriminant_mean_raw,0.8649875,0.8272879251347324,1600
Wild,all-mpnet-base-v2,768,2,B1b_discriminant_mean_whitened,0.834671875,0.8223690985159617,1600
Wild,all-mpnet-base-v2,768,2,B2_contrastive_svd_raw_k20,0.8449523437500001,0.825753056427521,1600
Wild,all-mpnet-base-v2,768,2,B2b_contrastive_svd_whitened_k20,0.84859609375,0.8331997199673058,1600
Wild,all-mpnet-base-v2,768,2,C1_logreg_raw,0.877734375,0.8494804742008912,1600
Wild,all-mpnet-base-v2,768,2,C1b_logreg_whitened,0.82737421875,0.816946953664079,1600
Wild,all-mpnet-base-v2,768,3,A1_naive_cosine_raw,0.77956015625,0.7627802812994331,1600
Wild,all-mpnet-base-v2,768,3,A1b_cosine_whitened,0.8261656249999999,0.8053453079143439,1600
Wild,all-mpnet-base-v2,768,3,A2_rsfi_svd_raw_k20,0.7755515625,0.7615971018310251,1600
Wild,all-mpnet-base-v2,768,3,A3_rsfi_svd_whitened_k20,0.79198046875,0.78156840860574,1600
Wild,all-mpnet-base-v2,768,3,B1_discriminant_mean_raw,0.85695703125,0.8277850495472124,1600
Wild,all-mpnet-base-v2,768,3,B1b_discriminant_mean_whitened,0.8283093750000001,0.8082121162329274,1600
Wild,all-mpnet-base-v2,768,3,B2_contrastive_svd_raw_k20,0.8185992187500001,0.8007964845100118,1600
Wild,all-mpnet-base-v2,768,3,B2b_contrastive_svd_whitened_k20,0.8215632812500001,0.803676656925074,1600
Wild,all-mpnet-base-v2,768,3,C1_logreg_raw,0.8651570312500001,0.842882044097213,1600
Wild,all-mpnet-base-v2,768,3,C1b_logreg_whitened,0.82182265625,0.810093183211976,1600
Wild,all-mpnet-base-v2,768,4,A1_naive_cosine_raw,0.78127734375,0.7528486700151571,1600
Wild,all-mpnet-base-v2,768,4,A1b_cosine_whitened,0.81745859375,0.799681259941735,1600
Wild,all-mpnet-base-v2,768,4,A2_rsfi_svd_raw_k20,0.78892109375,0.7766223000871034,1600
Wild,all-mpnet-base-v2,768,4,A3_rsfi_svd_whitened_k20,0.81515234375,0.8097716598377454,1600
Wild,all-mpnet-base-v2,768,4,B1_discriminant_mean_raw,0.8703414062500001,0.8367566726493607,1600
Wild,all-mpnet-base-v2,768,4,B1b_discriminant_mean_whitened,0.8156757812500001,0.7962933994868747,1600
Wild,all-mpnet-base-v2,768,4,B2_contrastive_svd_raw_k20,0.83366328125,0.8242445278010753,1600
Wild,all-mpnet-base-v2,768,4,B2b_contrastive_svd_whitened_k20,0.8368257812500001,0.8297245732693072,1600
Wild,all-mpnet-base-v2,768,4,C1_logreg_raw,0.8780226562499999,0.8520859239421176,1600
Wild,all-mpnet-base-v2,768,4,C1b_logreg_whitened,0.80432578125,0.7890909626957011,1600
Wild,bge-base-en-v1.5,768,0,A1_naive_cosine_raw,0.764703125,0.7509127583740518,1600
Wild,bge-base-en-v1.5,768,0,A1b_cosine_whitened,0.8279062500000001,0.8155555694313078,1600
Wild,bge-base-en-v1.5,768,0,A2_rsfi_svd_raw_k20,0.7769765625,0.7807859122374726,1600
Wild,bge-base-en-v1.5,768,0,A3_rsfi_svd_whitened_k20,0.7775703125000001,0.7815886556439726,1600
Wild,bge-base-en-v1.5,768,0,B1_discriminant_mean_raw,0.8679203125,0.8292101800814321,1600
Wild,bge-base-en-v1.5,768,0,B1b_discriminant_mean_whitened,0.82493203125,0.8136001852680349,1600
Wild,bge-base-en-v1.5,768,0,B2_contrastive_svd_raw_k20,0.8164117187500001,0.8176801776659732,1600
Wild,bge-base-en-v1.5,768,0,B2b_contrastive_svd_whitened_k20,0.8141203125,0.810366857015334,1600
Wild,bge-base-en-v1.5,768,0,C1_logreg_raw,0.8778484375,0.8462688911288564,1600
Wild,bge-base-en-v1.5,768,0,C1b_logreg_whitened,0.81812421875,0.8145312558047071,1600
Wild,bge-base-en-v1.5,768,1,A1_naive_cosine_raw,0.7755265625000001,0.7603584695572918,1600
Wild,bge-base-en-v1.5,768,1,A1b_cosine_whitened,0.8422421874999999,0.840262691784928,1600
Wild,bge-base-en-v1.5,768,1,A2_rsfi_svd_raw_k20,0.8038046875,0.801766375718473,1600
Wild,bge-base-en-v1.5,768,1,A3_rsfi_svd_whitened_k20,0.8061968749999999,0.8206695705649665,1600
Wild,bge-base-en-v1.5,768,1,B1_discriminant_mean_raw,0.8619921875000001,0.8253218269886431,1600
Wild,bge-base-en-v1.5,768,1,B1b_discriminant_mean_whitened,0.83728203125,0.8355695822760891,1600
Wild,bge-base-en-v1.5,768,1,B2_contrastive_svd_raw_k20,0.8215828125,0.8249490495443961,1600
Wild,bge-base-en-v1.5,768,1,B2b_contrastive_svd_whitened_k20,0.8398359375000001,0.8450254184675552,1600
Wild,bge-base-en-v1.5,768,1,C1_logreg_raw,0.8727515625,0.8433738155267115,1600
Wild,bge-base-en-v1.5,768,1,C1b_logreg_whitened,0.82883828125,0.8269322875180205,1600
Wild,bge-base-en-v1.5,768,2,A1_naive_cosine_raw,0.770753125,0.7598229962738515,1600
Wild,bge-base-en-v1.5,768,2,A1b_cosine_whitened,0.8356375,0.8257378179244501,1600
Wild,bge-base-en-v1.5,768,2,A2_rsfi_svd_raw_k20,0.78721875,0.7883303370792275,1600
Wild,bge-base-en-v1.5,768,2,A3_rsfi_svd_whitened_k20,0.80255234375,0.8035387694248726,1600
Wild,bge-base-en-v1.5,768,2,B1_discriminant_mean_raw,0.8603132812500001,0.8286620048477588,1600
Wild,bge-base-en-v1.5,768,2,B1b_discriminant_mean_whitened,0.83128828125,0.8224650247872811,1600
Wild,bge-base-en-v1.5,768,2,B2_contrastive_svd_raw_k20,0.80908203125,0.8062626384898299,1600
Wild,bge-base-en-v1.5,768,2,B2b_contrastive_svd_whitened_k20,0.8358265625000001,0.8297612491689145,1600
Wild,bge-base-en-v1.5,768,2,C1_logreg_raw,0.87312421875,0.8505882730464274,1600
Wild,bge-base-en-v1.5,768,2,C1b_logreg_whitened,0.8232734374999999,0.8108501388188336,1600
